"","origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour","time","season","temp_cel","dewp_cel","precip_cm"
"40","JFK",2013,1,2,17,32,10.94,40.99,300,11.5078,NA,0,1019.8,10,"02/01/2013 17:00",2013-01-02 17:00:00,"Winter",0,-11.7,0
"41","JFK",2013,1,2,18,30.92,12.02,44.92,310,13.80936,NA,0,1020.6,10,"02/01/2013 18:00",2013-01-02 18:00:00,"Winter",-0.599999999999999,-11.1,0
"42","JFK",2013,1,2,19,30.92,12.92,46.74,300,10.35702,NA,0,1020.5,10,"02/01/2013 19:00",2013-01-02 19:00:00,"Winter",-0.599999999999999,-10.6,0
"43","JFK",2013,1,2,20,30.92,12.92,46.74,300,8.05546,NA,0,1020.8,10,"02/01/2013 20:00",2013-01-02 20:00:00,"Winter",-0.599999999999999,-10.6,0
"44","JFK",2013,1,2,21,30.92,14,49.01,310,13.80936,NA,0,1021.3,10,"02/01/2013 21:00",2013-01-02 21:00:00,"Winter",-0.599999999999999,-10,0
"45","JFK",2013,1,2,22,30.02,14,50.84,300,12.65858,NA,0,1021.7,10,"02/01/2013 22:00",2013-01-02 22:00:00,"Winter",-1.1,-10,0
"46","JFK",2013,1,2,23,30.02,14,50.84,310,14.96014,NA,0,1022,10,"02/01/2013 23:00",2013-01-02 23:00:00,"Winter",-1.1,-10,0
"47","JFK",2013,1,3,0,28.94,15.08,55.69,320,16.11092,NA,0,1021.9,10,"03/01/2013 00:00",2013-01-03 00:00:00,"Winter",-1.7,-9.4,0
"48","JFK",2013,1,3,1,28.94,14,53.13,310,16.11092,NA,0,1022.2,10,"03/01/2013 01:00",2013-01-03 01:00:00,"Winter",-1.7,-10,0
"49","JFK",2013,1,3,2,28.94,14,53.13,310,12.65858,NA,0,1022.5,10,"03/01/2013 02:00",2013-01-03 02:00:00,"Winter",-1.7,-10,0
"50","JFK",2013,1,3,3,26.96,15.08,60.41,320,9.20624,NA,0,1022.3,10,"03/01/2013 03:00",2013-01-03 03:00:00,"Winter",-2.8,-9.4,0
"51","JFK",2013,1,3,4,26.96,15.08,60.41,330,12.65858,NA,0,1022,10,"03/01/2013 04:00",2013-01-03 04:00:00,"Winter",-2.8,-9.4,0
"52","JFK",2013,1,3,5,26.96,15.08,60.41,340,9.20624,NA,0,1022.2,10,"03/01/2013 05:00",2013-01-03 05:00:00,"Winter",-2.8,-9.4,0
"53","JFK",2013,1,3,6,26.06,14,59.81,340,12.65858,NA,0,1022.5,10,"03/01/2013 06:00",2013-01-03 06:00:00,"Winter",-3.3,-10,0
"54","JFK",2013,1,3,7,26.06,14,59.81,330,6.90468,NA,0,1022.5,10,"03/01/2013 07:00",2013-01-03 07:00:00,"Winter",-3.3,-10,0
"55","JFK",2013,1,3,8,28.04,14,55.12,310,10.35702,NA,0,1022.5,10,"03/01/2013 08:00",2013-01-03 08:00:00,"Winter",-2.2,-10,0
"56","JFK",2013,1,3,9,28.94,14,53.13,300,10.35702,NA,0,1022.9,10,"03/01/2013 09:00",2013-01-03 09:00:00,"Winter",-1.7,-10,0
"57","JFK",2013,1,3,10,30.92,15.08,51.38,320,8.05546,NA,0,1022.2,10,"03/01/2013 10:00",2013-01-03 10:00:00,"Winter",-0.599999999999999,-9.4,0
"58","JFK",2013,1,3,11,30.02,12.02,46.59,300,10.35702,NA,0,1021.3,10,"03/01/2013 11:00",2013-01-03 11:00:00,"Winter",-1.1,-11.1,0
"59","JFK",2013,1,3,12,33.08,12.92,42.84,280,12.65858,NA,0,1020.2,10,"03/01/2013 12:00",2013-01-03 12:00:00,"Winter",0.599999999999999,-10.6,0
"60","JFK",2013,1,3,13,33.08,12.92,42.84,250,11.5078,NA,0,1019.5,10,"03/01/2013 13:00",2013-01-03 13:00:00,"Winter",0.599999999999999,-10.6,0
"61","JFK",2013,1,3,14,33.08,12.02,41.17,270,5.7539,NA,0,1018.9,10,"03/01/2013 14:00",2013-01-03 14:00:00,"Winter",0.599999999999999,-11.1,0
"62","JFK",2013,1,3,15,32,12.92,44.74,250,8.05546,NA,0,1018.9,10,"03/01/2013 15:00",2013-01-03 15:00:00,"Winter",0,-10.6,0
"63","JFK",2013,1,3,16,30.92,15.08,51.38,260,10.35702,NA,0,1019.1,10,"03/01/2013 16:00",2013-01-03 16:00:00,"Winter",-0.599999999999999,-9.4,0
"64","JFK",2013,1,3,17,30.92,15.08,51.38,250,13.80936,NA,0,1019.6,10,"03/01/2013 17:00",2013-01-03 17:00:00,"Winter",-0.599999999999999,-9.4,0
"65","JFK",2013,1,3,18,30.92,15.08,51.38,250,14.96014,NA,0,1019.9,10,"03/01/2013 18:00",2013-01-03 18:00:00,"Winter",-0.599999999999999,-9.4,0
"66","JFK",2013,1,3,19,32,15.08,49.19,250,13.80936,NA,0,1019.9,10,"03/01/2013 19:00",2013-01-03 19:00:00,"Winter",0,-9.4,0
"67","JFK",2013,1,3,20,32,15.98,51.15,260,13.80936,NA,0,1019.8,10,"03/01/2013 20:00",2013-01-03 20:00:00,"Winter",0,-8.9,0
"68","JFK",2013,1,3,21,32,17.06,53.6,260,13.80936,NA,0,1019.5,10,"03/01/2013 21:00",2013-01-03 21:00:00,"Winter",0,-8.3,0
"69","JFK",2013,1,3,22,32,17.06,53.6,260,13.80936,NA,0,1019.4,10,"03/01/2013 22:00",2013-01-03 22:00:00,"Winter",0,-8.3,0
"70","JFK",2013,1,3,23,32,19.04,58.37,250,13.80936,NA,0,1018.8,10,"03/01/2013 23:00",2013-01-03 23:00:00,"Winter",0,-7.2,0
"71","JFK",2013,1,4,0,32,19.04,58.37,260,16.11092,NA,0,1018.2,10,"04/01/2013 00:00",2013-01-04 00:00:00,"Winter",0,-7.2,0
"72","JFK",2013,1,4,1,32,19.04,58.37,260,14.96014,NA,0,1018.4,10,"04/01/2013 01:00",2013-01-04 01:00:00,"Winter",0,-7.2,0
"73","JFK",2013,1,4,2,30.92,19.94,63.36,250,11.5078,NA,0,1018.6,10,"04/01/2013 02:00",2013-01-04 02:00:00,"Winter",-0.599999999999999,-6.7,0
"74","JFK",2013,1,4,3,30.02,19.94,65.72,260,10.35702,NA,0,1018.4,10,"04/01/2013 03:00",2013-01-04 03:00:00,"Winter",-1.1,-6.7,0
"75","JFK",2013,1,4,4,30.92,19.04,60.97,280,12.65858,NA,0,1018.5,10,"04/01/2013 04:00",2013-01-04 04:00:00,"Winter",-0.599999999999999,-7.2,0
"76","JFK",2013,1,4,5,33.08,21.02,60.81,260,13.80936,NA,0,1018.7,10,"04/01/2013 05:00",2013-01-04 05:00:00,"Winter",0.599999999999999,-6.1,0
"77","JFK",2013,1,4,6,33.08,21.02,60.81,260,12.65858,NA,0,1019,10,"04/01/2013 06:00",2013-01-04 06:00:00,"Winter",0.599999999999999,-6.1,0
"78","JFK",2013,1,4,7,33.98,21.92,60.93,240,18.41248,NA,0,1019.1,10,"04/01/2013 07:00",2013-01-04 07:00:00,"Winter",1.1,-5.6,0
"79","JFK",2013,1,4,8,35.06,21.02,56.18,250,14.96014,NA,0,1019.4,10,"04/01/2013 08:00",2013-01-04 08:00:00,"Winter",1.7,-6.1,0
"80","JFK",2013,1,4,9,35.96,21.02,54.21,250,16.11092,NA,0,1019.4,10,"04/01/2013 09:00",2013-01-04 09:00:00,"Winter",2.2,-6.1,0
"81","JFK",2013,1,4,10,35.96,19.94,51.78,260,14.96014,26.46794,0,1018.5,10,"04/01/2013 10:00",2013-01-04 10:00:00,"Winter",2.2,-6.7,0
"82","JFK",2013,1,4,11,35.96,19.94,51.78,250,17.2617,NA,0,1017.2,10,"04/01/2013 11:00",2013-01-04 11:00:00,"Winter",2.2,-6.7,0
"83","JFK",2013,1,4,12,37.04,19.94,49.62,260,18.41248,26.46794,0,1016.2,10,"04/01/2013 12:00",2013-01-04 12:00:00,"Winter",2.8,-6.7,0
"84","JFK",2013,1,4,13,37.94,19.04,46.09,260,19.56326,29.92028,0,1015.4,10,"04/01/2013 13:00",2013-01-04 13:00:00,"Winter",3.3,-7.2,0
"85","JFK",2013,1,4,14,37.94,19.94,47.89,250,20.71404,29.92028,0,1014.9,10,"04/01/2013 14:00",2013-01-04 14:00:00,"Winter",3.3,-6.7,0
"86","JFK",2013,1,4,15,37.04,19.94,49.62,250,20.71404,26.46794,0,1014.9,10,"04/01/2013 15:00",2013-01-04 15:00:00,"Winter",2.8,-6.7,0
"87","JFK",2013,1,4,16,35.96,19.94,51.78,260,19.56326,NA,0,1015.1,10,"04/01/2013 16:00",2013-01-04 16:00:00,"Winter",2.2,-6.7,0
"88","JFK",2013,1,4,17,35.96,19.94,51.78,250,18.41248,NA,0,1015.6,10,"04/01/2013 17:00",2013-01-04 17:00:00,"Winter",2.2,-6.7,0
"89","JFK",2013,1,4,18,35.96,21.02,54.21,260,18.41248,25.31716,0,1015.6,10,"04/01/2013 18:00",2013-01-04 18:00:00,"Winter",2.2,-6.1,0
"90","JFK",2013,1,4,19,35.96,21.02,54.21,260,20.71404,NA,0,1015.7,10,"04/01/2013 19:00",2013-01-04 19:00:00,"Winter",2.2,-6.1,0
"91","JFK",2013,1,4,20,35.96,19.94,51.78,270,16.11092,24.16638,0,1015.4,10,"04/01/2013 20:00",2013-01-04 20:00:00,"Winter",2.2,-6.7,0
"92","JFK",2013,1,4,21,35.06,19.94,53.66,270,17.2617,NA,0,1015.7,10,"04/01/2013 21:00",2013-01-04 21:00:00,"Winter",1.7,-6.7,0
"93","JFK",2013,1,4,22,33.98,19.94,56.02,270,13.80936,NA,0,1016.5,10,"04/01/2013 22:00",2013-01-04 22:00:00,"Winter",1.1,-6.7,0
"94","JFK",2013,1,4,23,33.98,19.04,53.91,270,13.80936,NA,0,1016.8,10,"04/01/2013 23:00",2013-01-04 23:00:00,"Winter",1.1,-7.2,0
"95","JFK",2013,1,5,0,33.98,17.96,51.47,270,14.96014,NA,0,1017.2,10,"05/01/2013 00:00",2013-01-05 00:00:00,"Winter",1.1,-7.8,0
"96","JFK",2013,1,5,1,33.98,17.06,49.51,290,17.2617,24.16638,0,1017.9,10,"05/01/2013 01:00",2013-01-05 01:00:00,"Winter",1.1,-8.3,0
"97","JFK",2013,1,5,2,33.98,15.98,47.25,290,18.41248,26.46794,0,1018.9,10,"05/01/2013 02:00",2013-01-05 02:00:00,"Winter",1.1,-8.9,0
"98","JFK",2013,1,5,3,33.08,15.98,48.98,290,13.80936,24.16638,0,1019.4,10,"05/01/2013 03:00",2013-01-05 03:00:00,"Winter",0.599999999999999,-8.9,0
"99","JFK",2013,1,5,4,33.08,15.98,48.98,270,12.65858,NA,0,1020.1,10,"05/01/2013 04:00",2013-01-05 04:00:00,"Winter",0.599999999999999,-8.9,0
"100","JFK",2013,1,5,5,33.08,17.96,53.36,270,16.11092,NA,0,1021.2,10,"05/01/2013 05:00",2013-01-05 05:00:00,"Winter",0.599999999999999,-7.8,0
"101","JFK",2013,1,5,6,33.08,17.96,53.36,260,10.35702,NA,0,1022.4,10,"05/01/2013 06:00",2013-01-05 06:00:00,"Winter",0.599999999999999,-7.8,0
"102","JFK",2013,1,5,7,33.08,19.04,55.89,260,13.80936,NA,0,1023.3,10,"05/01/2013 07:00",2013-01-05 07:00:00,"Winter",0.599999999999999,-7.2,0
"103","JFK",2013,1,5,8,35.06,19.94,53.66,260,12.65858,NA,0,1024.5,10,"05/01/2013 08:00",2013-01-05 08:00:00,"Winter",1.7,-6.7,0
"104","JFK",2013,1,5,9,37.04,19.94,49.62,270,10.35702,NA,0,1024.9,10,"05/01/2013 09:00",2013-01-05 09:00:00,"Winter",2.8,-6.7,0
"105","JFK",2013,1,5,10,41,19.94,42.51,320,20.71404,27.61872,0,1024.7,10,"05/01/2013 10:00",2013-01-05 10:00:00,"Winter",5,-6.7,0
"106","JFK",2013,1,5,11,42.98,19.04,37.9,320,17.2617,24.16638,0,1024.9,10,"05/01/2013 11:00",2013-01-05 11:00:00,"Winter",6.1,-7.2,0
"107","JFK",2013,1,5,12,44.06,19.94,37.79,330,16.11092,21.86482,0,1023.9,10,"05/01/2013 12:00",2013-01-05 12:00:00,"Winter",6.7,-6.7,0
"108","JFK",2013,1,5,13,44.06,19.04,36.36,310,9.20624,NA,0,1024,10,"05/01/2013 13:00",2013-01-05 13:00:00,"Winter",6.7,-7.2,0
"109","JFK",2013,1,5,14,44.06,19.04,36.36,310,11.5078,NA,0,1024.1,10,"05/01/2013 14:00",2013-01-05 14:00:00,"Winter",6.7,-7.2,0
"110","JFK",2013,1,5,15,42.08,19.04,39.23,280,8.05546,NA,0,1024.4,10,"05/01/2013 15:00",2013-01-05 15:00:00,"Winter",5.6,-7.2,0
"111","JFK",2013,1,5,16,39.02,21.02,48.07,260,8.05546,NA,0,1024.2,10,"05/01/2013 16:00",2013-01-05 16:00:00,"Winter",3.9,-6.1,0
"112","JFK",2013,1,5,17,37.94,21.02,50.14,260,5.7539,NA,0,1025,10,"05/01/2013 17:00",2013-01-05 17:00:00,"Winter",3.3,-6.1,0
"113","JFK",2013,1,5,18,35.96,24.98,64.03,240,9.20624,NA,0,1025.2,10,"05/01/2013 18:00",2013-01-05 18:00:00,"Winter",2.2,-3.9,0
"114","JFK",2013,1,5,19,35.06,23,61.08,240,8.05546,NA,0,1025.3,10,"05/01/2013 19:00",2013-01-05 19:00:00,"Winter",1.7,-5,0
"115","JFK",2013,1,5,20,33.98,23,63.77,240,5.7539,NA,0,1024.2,10,"05/01/2013 20:00",2013-01-05 20:00:00,"Winter",1.1,-5,0
"116","JFK",2013,1,5,21,33.98,24.08,66.72,240,5.7539,NA,0,1024.6,10,"05/01/2013 21:00",2013-01-05 21:00:00,"Winter",1.1,-4.4,0
"117","JFK",2013,1,5,22,33.98,24.08,66.72,230,8.05546,NA,0,1023.9,10,"05/01/2013 22:00",2013-01-05 22:00:00,"Winter",1.1,-4.4,0
"118","JFK",2013,1,5,23,35.06,24.98,66.36,230,8.05546,NA,0,1023.2,10,"05/01/2013 23:00",2013-01-05 23:00:00,"Winter",1.7,-3.9,0
"119","JFK",2013,1,6,0,35.06,24.98,66.36,240,8.05546,NA,0,1023.8,10,"06/01/2013 00:00",2013-01-06 00:00:00,"Winter",1.7,-3.9,0
"120","JFK",2013,1,6,1,35.06,24.98,66.36,240,6.90468,NA,0,1023.9,10,"06/01/2013 01:00",2013-01-06 01:00:00,"Winter",1.7,-3.9,0
"121","JFK",2013,1,6,2,35.06,26.06,69.4,240,8.05546,NA,0,1023,9,"06/01/2013 02:00",2013-01-06 02:00:00,"Winter",1.7,-3.3,0
"122","JFK",2013,1,6,3,35.96,26.06,66.97,250,8.05546,NA,0,1022.1,10,"06/01/2013 03:00",2013-01-06 03:00:00,"Winter",2.2,-3.3,0
"123","JFK",2013,1,6,4,33.8,30.02,88.37,230,11.5078,NA,0,NA,3,"06/01/2013 04:00",2013-01-06 04:00:00,"Winter",0.999999999999998,-1.1,0
"124","JFK",2013,1,6,5,33.08,30.92,91.66,250,8.05546,NA,0,1020.9,4,"06/01/2013 05:00",2013-01-06 05:00:00,"Winter",0.599999999999999,-0.599999999999999,0
"125","JFK",2013,1,6,6,33.98,32,92.36,230,10.35702,NA,0,NA,6,"06/01/2013 06:00",2013-01-06 06:00:00,"Winter",1.1,0,0
"126","JFK",2013,1,6,7,35.6,33.8,93.08,240,11.5078,NA,0,NA,10,"06/01/2013 07:00",2013-01-06 07:00:00,"Winter",2,0.999999999999998,0
"127","JFK",2013,1,6,8,35.96,33.8,93.08,260,12.65858,NA,0,NA,8,"06/01/2013 08:00",2013-01-06 08:00:00,"Winter",2.2,0.999999999999998,0
"128","JFK",2013,1,6,9,37.04,32,86.59,250,14.96014,NA,0,NA,9,"06/01/2013 09:00",2013-01-06 09:00:00,"Winter",2.8,0,0
"129","JFK",2013,1,6,10,39.2,33.8,80.79,240,11.5078,NA,0,NA,9,"06/01/2013 10:00",2013-01-06 10:00:00,"Winter",4,0.999999999999998,0
"130","JFK",2013,1,6,11,39.92,32,73.08,230,12.65858,NA,0,1017.8,9,"06/01/2013 11:00",2013-01-06 11:00:00,"Winter",4.4,0,0
"131","JFK",2013,1,6,12,42.08,32,67.22,230,12.65858,NA,0,1016.8,9,"06/01/2013 12:00",2013-01-06 12:00:00,"Winter",5.6,0,0
"132","JFK",2013,1,6,13,42.98,30.92,62.16,230,10.35702,NA,0,1016.1,10,"06/01/2013 13:00",2013-01-06 13:00:00,"Winter",6.1,-0.599999999999999,0
"133","JFK",2013,1,6,14,44.96,30.02,55.56,220,10.35702,NA,0,1015.6,10,"06/01/2013 14:00",2013-01-06 14:00:00,"Winter",7.2,-1.1,0
"134","JFK",2013,1,6,15,44.06,28.94,55.02,230,10.35702,NA,0,1015.5,10,"06/01/2013 15:00",2013-01-06 15:00:00,"Winter",6.7,-1.7,0
"135","JFK",2013,1,6,16,41,28.04,59.65,220,11.5078,NA,0,1015.8,10,"06/01/2013 16:00",2013-01-06 16:00:00,"Winter",5,-2.2,0
"136","JFK",2013,1,6,17,41,28.94,61.89,240,10.35702,NA,0,1016.3,10,"06/01/2013 17:00",2013-01-06 17:00:00,"Winter",5,-1.7,0
"137","JFK",2013,1,6,18,42.98,26.06,50.94,260,14.96014,NA,0,1016.7,10,"06/01/2013 18:00",2013-01-06 18:00:00,"Winter",6.1,-3.3,0
"138","JFK",2013,1,6,19,42.98,24.98,48.7,260,11.5078,NA,0,1016.8,10,"06/01/2013 19:00",2013-01-06 19:00:00,"Winter",6.1,-3.9,0
"139","JFK",2013,1,6,20,42.98,24.98,48.7,270,12.65858,NA,0,1016.9,10,"06/01/2013 20:00",2013-01-06 20:00:00,"Winter",6.1,-3.9,0
"140","JFK",2013,1,6,21,42.98,26.06,50.94,270,10.35702,NA,0,1017.1,10,"06/01/2013 21:00",2013-01-06 21:00:00,"Winter",6.1,-3.3,0
"141","JFK",2013,1,6,22,42.98,26.06,50.94,280,10.35702,NA,0,1017.3,10,"06/01/2013 22:00",2013-01-06 22:00:00,"Winter",6.1,-3.3,0
"142","JFK",2013,1,6,23,42.98,26.06,50.94,280,12.65858,20.71404,0,1017.9,10,"06/01/2013 23:00",2013-01-06 23:00:00,"Winter",6.1,-3.3,0
"143","JFK",2013,1,7,0,41,26.06,54.97,290,14.96014,20.71404,0,1018.3,10,"07/01/2013 00:00",2013-01-07 00:00:00,"Winter",5,-3.3,0
"144","JFK",2013,1,7,1,39.92,26.06,57.33,280,10.35702,NA,0,1019,10,"07/01/2013 01:00",2013-01-07 01:00:00,"Winter",4.4,-3.3,0
"145","JFK",2013,1,7,2,37.94,26.06,61.94,280,9.20624,NA,0,1019.4,10,"07/01/2013 02:00",2013-01-07 02:00:00,"Winter",3.3,-3.3,0
"146","JFK",2013,1,7,3,37.94,26.96,64.29,290,10.35702,NA,0,1019.7,10,"07/01/2013 03:00",2013-01-07 03:00:00,"Winter",3.3,-2.8,0
"147","JFK",2013,1,7,4,37.94,26.96,64.29,300,10.35702,NA,0,1020.5,10,"07/01/2013 04:00",2013-01-07 04:00:00,"Winter",3.3,-2.8,0
"148","JFK",2013,1,7,5,39.02,26.96,61.63,300,12.65858,NA,0,1021.6,10,"07/01/2013 05:00",2013-01-07 05:00:00,"Winter",3.9,-2.8,0
"149","JFK",2013,1,7,6,37.94,26.96,64.29,300,12.65858,NA,0,1023,10,"07/01/2013 06:00",2013-01-07 06:00:00,"Winter",3.3,-2.8,0
"150","JFK",2013,1,7,7,37.94,26.96,64.29,300,4.60312,NA,0,1023.9,10,"07/01/2013 07:00",2013-01-07 07:00:00,"Winter",3.3,-2.8,0
"151","JFK",2013,1,7,8,42.08,26.96,54.73,310,12.65858,23.0156,0,1024.9,10,"07/01/2013 08:00",2013-01-07 08:00:00,"Winter",5.6,-2.8,0
"152","JFK",2013,1,7,9,44.06,26.96,50.73,320,18.41248,26.46794,0,1025.9,10,"07/01/2013 09:00",2013-01-07 09:00:00,"Winter",6.7,-2.8,0
"153","JFK",2013,1,7,10,46.04,24.98,43.34,330,11.5078,20.71404,0,1026.3,10,"07/01/2013 10:00",2013-01-07 10:00:00,"Winter",7.8,-3.9,0
"154","JFK",2013,1,7,11,46.04,23,39.9,310,13.80936,19.56326,0,1026.5,10,"07/01/2013 11:00",2013-01-07 11:00:00,"Winter",7.8,-5,0
"155","JFK",2013,1,7,12,46.04,21.02,36.7,290,13.80936,NA,0,1027,10,"07/01/2013 12:00",2013-01-07 12:00:00,"Winter",7.8,-6.1,0
"156","JFK",2013,1,7,13,46.04,19.94,35.05,320,11.5078,NA,0,1027.3,10,"07/01/2013 13:00",2013-01-07 13:00:00,"Winter",7.8,-6.7,0
"157","JFK",2013,1,7,14,46.04,19.94,35.05,340,8.05546,NA,0,1027.9,10,"07/01/2013 14:00",2013-01-07 14:00:00,"Winter",7.8,-6.7,0
